;代码 x y 名称 范围 数量 时间

;比奇
n0 600 576 弓箭守卫 0 1 10
n0 665 87 弓箭守卫 0 1 10
n0 666 86 弓箭守卫 0 1 10
n0 671 94 弓箭守卫 0 1 10
n0 672 93 弓箭守卫 0 1 10
n0 340 513 弓箭守卫 0 1 10
n0 341 514 弓箭守卫 0 1 10
n0 367 487 弓箭守卫 0 1 10
n0 368 488 弓箭守卫 0 1 10
n0 318 244 弓箭守卫 0 1 10
n0 300 207 弓箭守卫 0 1 10
n0 310 227 弓箭守卫 0 1 10
n0 313 230 弓箭守卫 0 1 10
n0 309 286 弓箭守卫 0 1 10
n0 329 289 弓箭守卫 0 1 10
n0 355 280 弓箭守卫 0 1 10
n0 362 301 弓箭守卫 0 1 10
n0 374 291 弓箭守卫 0 1 10
n0 321 257 弓箭守卫 0 1 10
n0 301 319 弓箭守卫 0 1 10
n0 335 309 弓箭守卫 0 1 10
n0 339 313 弓箭守卫 0 1 10
n0 320 36 弓箭守卫 0 1 10
n0 327 42 弓箭守卫 0 1 10

;白日馆
GA0 60 60 白虎 50 5 15
GA0 60 60 金钩毒蜴 50 5 15
GA0 70 70 白虎 50 5 15
GA0 70 70 金钩毒蜴 50 5 15
GA0 80 80 白虎 50 5 15
GA0 80 80 金钩毒蜴 50 5 15
GA0 90 90 白虎 50 5 15
GA0 90 90 金钩毒蜴 50 5 15
GA0 80 80 白虎 50 1 60
GA0 80 80 金钩毒蜴0 50 1 60

;沃玛森林
1 52 33 弓箭守卫 0 1 10
1 52 33 弓箭守卫 0 1 10
1 46 39 弓箭守卫 0 1 10
1 51 165 弓箭守卫 0 1 10
1 52 171 弓箭守卫 0 1 10
1 566 544 弓箭守卫 0 1 10
1 555 544 弓箭守卫 0 1 10

;毒蛇山谷
2 417 558 弓箭守卫 0 1 10
2 416 559 弓箭守卫 0 1 10
2 423 566 弓箭守卫 0 1 10
2 424 565 弓箭守卫 0 1 10

2 292 60 弓箭守卫 0 1 10
2 298 65 弓箭守卫 0 1 10

2 552 80 弓箭守卫 0 1 10
2 560 88 弓箭守卫 0 1 10

;盟重
n3 325 311 弓箭守卫 0 1 10
n3 348 332 弓箭守卫 0 1 10
n3 296 334 弓箭守卫 0 1 10
n3 302 340 弓箭守卫 0 1 10
n3 305 290 弓箭守卫 0 1 10
n3 288 305 弓箭守卫 0 1 10
n3 302 370 弓箭守卫 0 1 10
n3 336 321 弓箭守卫 0 1 10
n3 339 313 弓箭守卫 0 1 10
2 510 479 弓箭守卫 0 1 10
2 508 492 弓箭守卫 0 1 10
n3 273 743 弓箭守卫 0 1 10
n3 272 744 弓箭守卫 0 1 10
n3 512 770 弓箭守卫 0 1 10
n3 519 777 弓箭守卫 0 1 10

;封魔谷
n4 443 184 恶魔弓箭手 0 1 1
n4 443 192 恶魔弓箭手 0 1 1

n4 256 231 恶魔弓箭手 0 1 1
n4 251 236 恶魔弓箭手 0 1 1
n4 255 230 恶魔弓箭手 0 1 1
n4 250 235 恶魔弓箭手 0 1 1
n4 254 229 恶魔弓箭手 0 1 1
n4 249 234 恶魔弓箭手 0 1 1
n4 253 228 恶魔弓箭手 0 1 1
n4 248 233 恶魔弓箭手 0 1 1
n4 252 227 恶魔弓箭手 0 1 1
n4 247 232 恶魔弓箭手 0 1 1

n4 257 186 恶魔弓箭手 0 1 1
n4 253 183 恶魔弓箭手 0 1 1
n4 256 187 恶魔弓箭手 0 1 1
n4 252 184 恶魔弓箭手 0 1 1
n4 255 188 恶魔弓箭手 0 1 1
n4 251 185 恶魔弓箭手 0 1 1
n4 254 189 恶魔弓箭手 0 1 1
n4 250 186 恶魔弓箭手 0 1 1
n4 253 190 恶魔弓箭手 0 1 1
n4 249 187 恶魔弓箭手 0 1 1
n4 215 193 恶魔弓箭手 0 1 1
n4 219 189 恶魔弓箭手 0 1 1
;封魔皇宫门口
n4 223 195 恶魔弓箭手 0 1 1
n4 224 194 恶魔弓箭手 0 1 1
n4 225 193 恶魔弓箭手 0 1 1
n4 226 192 恶魔弓箭手 0 1 1
n4 216 202 恶魔弓箭手 0 1 1
n4 215 203 恶魔弓箭手 0 1 1
n4 214 204 恶魔弓箭手 0 1 1
n4 213 205 恶魔弓箭手 0 1 1

;苍月岛
n5 122 334 弓箭守卫 0 1 10
n5 136 336 弓箭守卫 0 1 10
n5 143 324 弓箭守卫 0 1 10
n5 164 357 弓箭守卫 0 1 10
n5 169 352 弓箭守卫 0 1 10
n5 140 362 弓箭守卫 0 1 10
n5 131 301 弓箭守卫 0 1 10

;白日门
n11 43 480 弓箭守卫 0 1 10
n11 49 474 弓箭守卫 0 1 10

;毒蛇矿区-死亡山谷
D422 332 380 弓箭守卫 0 1 10
D422 328 384 弓箭守卫 0 1 10

E605 10 61 弓箭守卫 0 1 10
E605 15 68 弓箭守卫 0 1 10

D601 13 196 弓箭守卫 0 1 10
D601 7 201 弓箭守卫 0 1 10

E601 139 13 弓箭守卫 0 1 10
E601 138 12 弓箭守卫 0 1 10

;比奇城
n0 350 200 鸡 25 5 5
n0 280 260 鸡 25 5 5
n0 405 240 鸡 25 5 5
n0 340 310 鸡 25 5 5
n0 600 580 鹿 40 10 7
n0 663 661 鸡 20 10 5
n0 295 625 鸡 50 10 5
n0 645 625 鸡 40 10 5

;比奇省北部
n0 110 60 稻草人 70 40 9
n0 110 80 多钩猫 60 40 9
n0 220 60 稻草人 60 40 9
n0 150 130 多钩猫 50 40 9
n0 140 100 钉耙猫 50 50 9
n0 90 240 半兽人 60 50 6
n0 65 185 毒蜘蛛 30 30 9
n0 120 200 食人花 60 40 9 
n0 210 185 鹿 45 50 5
n0 265 125 鹿 45 50 5
n0 310 95 鹿 45 50 5
n0 225 20 蛤蟆 20 15 8
n0 280 380 蛤蟆 20 15 8
n0 340 80 蛤蟆 20 15 8
n0 60 300 毒蜘蛛 60 40 9

;比奇省东部
n0 420 95 半兽人 50 50 9
n0 570 120 毒蜘蛛 80 30 9
n0 615 110 毒蜘蛛 50 20 9
n0 560 200 半兽人 90 80 7
n0 620 370 毒蜘蛛 60 40 9
n0 420 380 鹿 45 40 5
n0 470 330 鹿 45 40 5
n0 395 420 蛤蟆 40 40 8
n0 475 500 食人花 90 70 9
n0 405 515 蛤蟆 30 30 8
n0 500 400 稻草人 50 40 9
n0 510 410 多钩猫 50 40 9
n0 510 410 钉耙猫 50 40 9
n0 560 320 半兽人 90 60 7
n0 480 450 半兽人 60 50 7
n0 600 400 森林雪人 70 30 7
n0 600 400 半兽人 80 60 9
n0 610 405 食人花 60 80 9
n0 650 420 毒蜘蛛 30 30 9

n0 600 580 鹿 40 30 7
n0 663 661 鸡 20 20 5
n0 663 661 稻草人 20 40 5
n0 540 530 稻草人 70 70 5
n0 550 550 鹿 70 70 4
n0 570 610 鹿 50 60 5
n0 640 520 多钩猫 50 40 5
n0 640 520 钉耙猫 50 40 5
n0 640 530 稻草人 50 40 5

n0 205 325 鹿 50 40 5
n0 260 380 鹿 50 40 5
n0 300 410 蛤蟆 50 30 6
n0 200 400 稻草人 50 30 6
n0 180 420 多钩猫 50 30 6
n0 180 420 钉耙猫 50 30 6
n0 110 425 森林雪人 70 40 7
n0 110 440 半兽人 70 50 7
n0 220 470 半兽人 70 50 7
n0 140 500 半兽人 50 30 7
n0 130 510 食人花 70 40 9
n0 165 550 森林雪人 60 40 7
n0 340 550 钉耙猫 50 50 6
n0 340 550 多钩猫 50 50 6
n0 340 550 鹿 50 40 4
n0 247 565 鹿 50 50 4
n0 330 530 稻草人 40 60 6
n0 270 625 鹿 60 70 4
n0 270 625 稻草人 60 60 5

n0 295 625 鸡 50 10 5
n0 645 625 鸡 40 10 5

;研究院
n0110 5 14 练功师 0 1 10
n0110 8 17 练功师 0 1 10
n0110 10 9 练功师 0 1 10
n0110 13 12 练功师 0 1 10
n0111 5 14 练功师 0 1 10
n0111 8 17 练功师 0 1 10
n0111 10 9 练功师 0 1 10
n0111 13 12 练功师 0 1 10
n0112 5 14 练功师 0 1 10
n0112 8 17 练功师 0 1 10
n0112 10 9 练功师 0 1 10
n0112 13 12 练功师 0 1 10

;半兽古墓一层
D001 200 200 蝎子 200 100 8
D001 200 200 骷髅 200 160 8
D001 200 200 骷髅战士 200 120 8
D001 200 200 洞蛆 200 70 8
D001 200 200 山洞蝙蝠 200 30 8 100
D001 200 200 山洞蝙蝠 200 45 8
D001 190 125 蝎子 30 14 8
D001 250 260 骷髅 30 14 8
D001 250 90 山洞蝙蝠 30 14 8
D001 30 30 山洞蝙蝠 50 30 10
;特殊
D001 200 200 骷髅战士0 200 10 10
D001 200 200 骷髅0 200 10 10

;半兽古墓二层
D002 200 200 洞蛆 200 80 8
D002 200 200 骷髅战士 200 140 8
D002 200 200 掷斧骷髅 200 80 8
D002 200 200 骷髅战将 200 100 8
D002 200 200 骷髅 200 80 8
D002 200 200 山洞蝙蝠 200 30 8 50
D002 200 200 山洞蝙蝠 200 40 8
D002 300 230 山洞蝙蝠 30 20 8
;特殊
D002 200 200 骷髅战士0 200 10 10
D002 200 200 掷斧骷髅0 200 10 10
D002 200 200 骷髅战将0 200 10 10
D002 200 200 骷髅0 200 10 10
D002 200 200 骷髅精灵 200 1 60

;半兽古墓三层
D003 200 200 洞蛆 200 80 8
D003 200 200 骷髅战士 200 120 8
D003 200 200 掷斧骷髅 200 80 8
D003 200 200 骷髅战将 200 120 8
D003 200 200 骷髅 200 100 8
D003 200 200 山洞蝙蝠 200 30 8 50
D003 200 200 山洞蝙蝠 200 40 8
;特殊
D003 200 200 骷髅战士0 200 10 10
D003 200 200 掷斧骷髅0 200 10 10
D003 200 200 骷髅战将0 200 10 10
D003 200 200 骷髅0 200 10 10
D003 200 200 山洞蝙蝠0 200 10 10 
D003 200 200 骷髅精灵 200 2 60

;连接通道一
E401 50 50 洞蛆 50 15 23
E401 50 50 骷髅战士 50 25 23
E401 50 50 掷斧骷髅 50 15 23
E401 50 50 骷髅战将 50 25 23
E401 50 50 骷髅 50 20 23
E401 50 50 山洞蝙蝠 50 15 23 50
;特殊
E401 50 50 骷髅战士0 50 2 30
E401 50 50 骷髅战将0 50 2 30

;连接通道二
E402 50 50 洞蛆 50 10 23
E402 50 50 骷髅战士 50 15 23
E402 50 50 掷斧骷髅 50 10 23
E402 50 50 骷髅战将 50 15 23
E402 50 50 骷髅 50 15 23
E402 50 50 山洞蝙蝠 50 10 23 50
E402 50 50 闪电僵尸 50 10 23 50
E402 50 50 墓穴僵尸 50 8 23
E402 50 50 土栖僵尸 50 8 23
E402 50 50 腐烂僵尸 50 8 23
E402 50 50 残肢僵尸 50 8 23
;特殊
E402 50 50 骷髅战将0 50 2 30
E402 50 50 闪电僵尸0 50 2 30

;连接通道三
E403 50 50 洞蛆 50 4 23
E403 50 50 骷髅战士 50 10 23
E403 50 50 掷斧骷髅 50 4 23
E403 50 50 骷髅战将 50 10 23
E403 50 50 骷髅 50 6 23
E403 50 50 山洞蝙蝠 50 4 23 50
E403 50 50 闪电僵尸 50 15 23 50
E403 50 50 墓穴僵尸 50 10 23
E403 50 50 土栖僵尸 50 10 23
E403 50 50 腐烂僵尸 50 10 23
E403 50 50 残肢僵尸 50 10 23
;特殊
E403 50 50 骷髅战将0 50 2 30
E403 50 50 闪电僵尸0 50 2 30
;连接通道四
E404 50 50 闪电僵尸 50 20 23 50
E404 50 50 墓穴僵尸 50 15 23
E404 50 50 土栖僵尸 50 15 23
E404 50 50 腐烂僵尸 50 15 23
E404 50 50 残肢僵尸 50 15 23
;特殊
E404 50 50 墓穴僵尸0 50 2 30
E404 50 50 闪电僵尸0 50 2 30

;天然洞穴一层
D011 200 200 骷髅 200 120 8
D011 200 200 骷髅战士 200 120 8
D011 200 200 蝎子 200 100 8
D011 200 200 山洞蝙蝠 200 30 8 100
D011 200 200 山洞蝙蝠 200 45 8 100
D011 200 200 洞蛆 200 100 8
;特殊
D011 200 200 骷髅0 200 10 10
D011 200 200 骷髅战士0 200 10 10
D011 200 200 山洞蝙蝠0 200 10 10
D011 200 200 骷髅精灵 200 1 60

;天然洞穴二层
D012 200 200 骷髅 200 80 8
D012 200 200 骷髅战士 200 120 8
D012 200 200 骷髅战将 200 120 8
D012 200 200 掷斧骷髅 200 100 8
D012 200 200 蝎子 200 70 8
D012 200 200 洞蛆 200 50 8
D012 200 200 山洞蝙蝠 200 30 8 100
D012 200 200 山洞蝙蝠 200 40 8
D012 200 200 山洞蝙蝠 200 10 8 100
D012 200 200 山洞蝙蝠 200 10 8 100
D012 200 200 山洞蝙蝠 200 10 8 100
;特殊
D012 200 200 骷髅0 200 10 10
D012 200 200 骷髅战士0 200 10 10
D012 200 200 骷髅战将0 200 10 10
D012 200 200 掷斧骷髅0 200 10 10
D012 200 200 山洞蝙蝠0 200 10 10
D012 200 200 骷髅精灵 200 2 60

;沃玛自然洞穴一层
E001 50 50 洞蛆 50 15 23
E001 50 50 骷髅战士 50 25 23
E001 50 50 掷斧骷髅 50 15 23
E001 50 50 骷髅战将 50 25 23
E001 50 50 骷髅 50 20 23
E001 50 50 山洞蝙蝠 50 15 23 50
;特殊
E001 50 50 骷髅战士0 50 2 60
E001 50 50 骷髅战将0 50 2 60

;沃玛自然洞穴二层
E002 50 50 洞蛆 50 15 23
E002 50 50 骷髅战士 50 25 23
E002 50 50 掷斧骷髅 50 15 23
E002 50 50 骷髅战将 50 25 23
E002 50 50 骷髅 50 20 23
E002 50 50 山洞蝙蝠 50 15 23 50
;特殊
E002 50 50 骷髅战士0 50 2 60
E002 50 50 骷髅战将0 50 2 60

;沃玛森林
1 145 60 森林雪人 80 35 7
1 145 60 森林雪人 80 35 7
1 302 164 半兽人 150 200 6
1 302 164 半兽战士 150 40 6
1 302 164 半兽勇士 150 2 60
1 302 164 森林雪人 150 90 6
1 352 382 半兽人 100 30 6
1 352 382 半兽战士 100 10 6
1 352 382 半兽勇士 100 4 60
1 250 230 森林雪人 230 300 5
1 250 230 半兽人 230 200 6
1 250 230 半兽战士 230 50 6
1 250 230 半兽勇士 230 1 60
1 219 381 半兽人 100 50 6
1 219 381 半兽战士 100 10 6
1 219 381 半兽勇士 100 4 60
1 219 381 森林雪人 100 90 5
1 238 511 毒蜘蛛 80 50 6
1 497 465 钉耙猫 50 40 9
1 497 445 多钩猫 50 40 9
1 250 250 食人花 250 100 9
;特殊
1 250 250 森林雪人0 250 5 10
1 250 250 半兽人0 250 5 10
1 250 250 半兽战士0 250 5 10
1 250 250 钉耙猫0 250 5 10
1 250 250 多钩猫0 250 5 10

;封魔谷
n4 322 334 半兽战士 90 40 5
n4 322 334 半兽勇士9 90 20 7
n4 322 334 半兽勇士1 90 10 7
n4 322 334 骷髅 90 20 5
n4 322 334 骷髅战士 90 20 5
n4 322 334 骷髅战将 90 20 5
n4 322 334 掷斧骷髅 90 20 5

n4 348 190 半兽战士 90 40 5
n4 348 190 半兽勇士9 90 20 7
n4 348 190 半兽勇士1 90 10 7
n4 348 190 骷髅 90 20 5
n4 348 190 骷髅战士 90 20 5
n4 348 190 骷髅战将 90 20 5
n4 348 190 掷斧骷髅 90 20 5

n4 107 138 半兽战士 90 40 5
n4 107 138 半兽勇士9 90 20 7
n4 107 138 半兽勇士1 90 10 7
n4 107 138 骷髅 90 20 5
n4 107 138 骷髅战士 90 20 5
n4 107 138 骷髅战将 90 20 5
n4 107 138 掷斧骷髅 90 20 5

n4 126 311 半兽战士 90 40 5
n4 126 311 半兽勇士9 90 20 7
n4 126 311 半兽勇士1 90 10 7
n4 126 311 骷髅 90 20 5
n4 126 311 骷髅战士 90 20 5
n4 126 311 骷髅战将 90 20 5
n4 126 311 掷斧骷髅 90 20 5

n4 199 99 骷髅 50 20 6
n4 199 99 骷髅战士 50 20 6
n4 199 99 骷髅战将 50 20 6
n4 199 99 掷斧骷髅 50 20 6

n4 274 259 骷髅 15 4 6
n4 274 259 骷髅战士 15 4 6
n4 274 259 骷髅战将 15 4 6
n4 274 259 掷斧骷髅 15 4 6
n4 274 259 墓穴僵尸 15 4 6

n4 170 267 骷髅 15 4 6
n4 170 267 骷髅战士 15 4 6
n4 170 267 骷髅战将 15 4 6
n4 170 267 掷斧骷髅 15 4 6
n4 170 267 墓穴僵尸 15 4 6

n4 289 154 骷髅 15 4 6
n4 289 154 骷髅战士 15 4 6
n4 289 154 骷髅战将 15 4 6
n4 289 154 掷斧骷髅 15 4 6
n4 289 154 墓穴僵尸 15 4 6

n4 443 192 半兽勇士9 20 5 7
n4 443 192 半兽战士 20 10 7
n4 443 192 骷髅战士 20 5 7
n4 443 192 骷髅 20 5 7
n4 443 192 掷斧骷髅 20 5 7

n4 73 85 半兽勇士9 20 10 7
n4 73 85 半兽勇士1 20 5 7
n4 73 85 骷髅战将 20 5 7
n4 73 85 闪电僵尸 20 5 7
n4 73 85 墓穴僵尸 20 5 7

;特殊
n4 322 334 半兽战士0 80 4 15
n4 348 190 半兽勇士 80 2 25
n4 107 138 墓穴僵尸0 80 4 15
n4 126 311 骷髅战士0 80 4 15
n4 322 334 骷髅战将0 65 4 15
n4 348 190 掷斧骷髅0 65 4 15
n4 107 138 骷髅0 65 4 15
n4 443 192 骷髅战士0 20 2 15
n4 73 85 闪电僵尸0 20 2 15
n4 107 138 骷髅精灵 80 2 60
n4 322 334 半兽统领 80 2 60
n4 123 404 千年树妖 0 1 360

;封魔皇宫
B341 21 25 沃玛卫士 20 1 60

;苍月岛
n5 550 530 半兽战士 300 50 10
n5 550 530 半兽勇士9 300 20 10
n5 550 530 半兽勇士1 300 10 10
n5 550 530 骷髅 300 20 10
n5 550 530 骷髅战士 300 20 10
n5 550 530 骷髅战将 300 20 10
n5 550 530 掷斧骷髅 300 20 10
n5 550 530 半兽战士 300 50 10
n5 550 530 半兽勇士9 300 20 10
n5 550 530 半兽勇士1 300 10 10
n5 550 530 骷髅 300 20 10
n5 550 530 骷髅战士 300 20 10
n5 550 530 骷髅战将 300 20 10
n5 550 530 掷斧骷髅 300 20 10
n5 550 530 半兽战士 300 50 10
n5 550 530 半兽勇士9 300 20 10
n5 550 530 半兽勇士1 300 10 10
n5 550 530 骷髅 300 20 10
n5 550 530 骷髅战士 300 20 10
n5 550 530 骷髅战将 300 20 10
n5 550 530 掷斧骷髅 300 20 10
n5 550 530 半兽战士 300 50 10
n5 550 530 半兽勇士9 300 20 10
n5 550 530 半兽勇士1 300 10 10
n5 550 530 骷髅 300 20 10
n5 550 530 骷髅战士 300 20 10
n5 550 530 骷髅战将 300 20 10
n5 550 530 掷斧骷髅 300 20 10
n5 550 530 半兽战士 300 50 10
;特殊
n5 450 530 宝箱 250 5 30
n5 450 530 宝箱 250 3 60
n5 450 530 宝箱 250 2 90
n5 450 530 宝箱 250 1 120
n5 450 530 宝箱8 250 1 240

;白日门
n11 108 422 森林雪人 50 30 7
n11 108 422 半兽人 50 10 7
n11 108 422 半兽战士 50 30 7
n11 108 422 半兽勇士9 50 10 10
n11 108 422 半兽统领 50 4 60
n11 147 211 森林雪人 80 20 7
n11 147 211 半兽战士 80 30 7
n11 147 211 半兽勇士9 80 10 10
n11 147 211 半兽统领 80 4 60
n11 321 266 森林雪人 80 30 7
n11 321 266 半兽战士 80 40 6
n11 321 266 半兽勇士9 80 20 10
n11 321 266 半兽统领 80 6 60
n11 348 132 半兽人 100 10 6
n11 348 132 半兽战士 80 40 6
n11 348 132 半兽勇士9 80 10 10
n11 348 132 半兽统领 80 4 60
n11 348 132 森林雪人 100 40 7
n11 348 132 雪人王 100 2 120
n11 380 270 钉耙猫王 80 1 120
n11 380 270 钉耙猫 90 10 7
n11 100 450 多钩猫 90 10 7
n11 100 450 多钩猫王 80 1 120
n111 147 211 毒蜘蛛 60 30 6
n111 147 211 剧毒蜘蛛 60 3 30
n111 147 211 天狼蜘蛛 60 10 30
n11 321 266 毒蜘蛛 80 40 7
n11 321 266 剧毒蜘蛛 80 4 30
n11 348 132 毒蜘蛛 60 30 6
n11 348 132 剧毒蜘蛛 60 3 30
n11 45 380 食人花 100 40 9
n11 360 255 天狼蜘蛛 80 20 15
n11 321 266 半兽勇士 80 3 60
n11 147 211 半兽勇士 80 3 60
n11 348 132 半兽勇士 80 3 60
;特殊
n11 108 422 森林雪人0 50 3 15
n11 321 266 半兽人0 50 5 15
n11 132 185 半兽战士0 50 5 30
n11 380 270 钉耙猫0 50 5 15
n11 100 450 多钩猫0 50 5 15
n11 360 255 天狼蜘蛛0 80 10 60

;特殊
n11 200 200 鹰卫 200 1 180

;白日门馆长屋 
1002 12 12 虎卫 5 1 180

;丛林迷宫
12 100 60 天狼蜘蛛 100 20 8
12 100 60 暴牙蜘蛛 100 10 10
12 100 60 花吻蜘蛛 100 10 10
12 290 160 天狼蜘蛛 100 10 8
12 290 160 暴牙蜘蛛 100 10 10
12 290 160 花吻蜘蛛 100 10 10
12 50 300 天狼蜘蛛 100 10 8
12 50 300 暴牙蜘蛛 100 10 10
12 50 300 花吻蜘蛛 100 10 10
12 80 220 天狼蜘蛛 100 10 8
12 80 220 暴牙蜘蛛 100 10 10
12 80 220 花吻蜘蛛 100 10 10
12 160 210 天狼蜘蛛 100 10 8
12 160 210 暴牙蜘蛛 100 10 10
12 160 210 花吻蜘蛛 100 10 10
12 190 330 天狼蜘蛛 100 10 8
12 190 330 暴牙蜘蛛 100 10 10
12 190 330 花吻蜘蛛 100 10 10
12 288 328 剧毒蜘蛛 100 10 6
12 288 328 天狼蜘蛛 100 10 8
12 288 328 暴牙蜘蛛 100 10 10
12 288 328 花吻蜘蛛 100 10 10
12 190 330 剧毒蜘蛛 250 20 6
12 290 160 天狼蜘蛛0 50 20 30
12 100 60 暴牙蜘蛛0 50 20 30
12 50 300 花吻蜘蛛0 50 10 30
12 290 160 天狼蜘蛛8 50 10 60
12 50 300 花吻蜘蛛8 50 5 60
;特殊
12 50 300 鹰卫 150 1 180

;毒蛇山谷
2 250 250 红蛇 220 20 6
2 320 130 红蛇 100 25 6
2 250 250 食人花 200 20 6
2 100 250 毒蜘蛛 60 20 6
2 350 100 毒蜘蛛 50 20 6
2 260 200 多钩猫 60 20 6
2 260 200 红蛇 60 20 6
2 260 170 钉耙猫 60 20 6
2 260 170 红蛇 60 20 6
2 420 80 毒蜘蛛 50 20 7
2 448 362 虎蛇 60 20 6
2 400 180 虎蛇 120 20 6
2 250 280 虎蛇 120 20 5
2 250 250 红蛇 220 20 5 50
2 140 250 红蛇 80 20 5
2 300 330 半兽人 100 20 6
2 400 130 半兽人 100 25 6
2 300 400 多钩猫 200 20 6
2 300 400 钉耙猫 200 20 6
;特殊
2 300 400 红蛇0 200 3 10
2 300 400 多钩猫0 200 3 10
2 300 400 钉耙猫0 200 3 10
2 300 400 虎蛇0 200 3 10
2 300 400 半兽人0 200 3 10

;盟重土城
n3 380 410 羊 60 20 6
n3 380 290 羊 60 20 6
n3 160 250 猎鹰 80 10 7
n3 500 125 猎鹰 40 10 7
n3 150 230 盔甲虫 100 20 7
n3 100 390 沙虫 50 20 7
n3 320 150 盔甲虫 100 20 7
n3 320 150 沙虫 30 20 7
n3 416 200 盔甲虫 70 20 7
n3 583 130 盔甲虫 70 20 7
n3 500 140 多角虫 60 20 7
n3 666 115 多角虫 60 20 7
n3 500 140 巨型多角虫 500 10 30
