;怪物名 忽防 增伤 反弹 伤减 魔减 麻痹-几率-时间(0~1 0~10 0~10) 防麻 防毒 防火 防诱 破复 破护 冰冻-几率-时间(0~1 0~10 0~10) 防冻 蛛网-几率-时间(0~1 0~10 0~10) 防网
沙巴克城门 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1
沙巴克左城墙 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1
沙巴克右城墙 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1
沙巴克中城墙 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0 0 0 1
魔化龙傲天 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
六道黄龙 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
卧龙道尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
卧龙道尊1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
卧龙战将 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
卧龙战将1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
卧龙魔将 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
卧龙魔将1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
飞鸿（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
斩浪（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
风云（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
新月（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
青城（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
风云（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
御风（卧龙） 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
大祭司元离 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
镜像明王 0 0 0 0 0 1 5 5 0 0 1 1 0 0 0 0 0 0 0 0 0 0
凌日仙君 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
雾月仙子 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
热血青龙 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
热血金龙 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
冰眼巨魔 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 5 5 0 0 0 0 0
雪域魔王 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 5 5 0 0 0 0 0
古墓尸皇 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
龙腾星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
龙腾星尊1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
彩凤星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
彩凰星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
白狐星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
白狐星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
逆麒星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
逆麟星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
炎龙星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
天龙星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
碧幽星尊 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
碧幽星尊1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
金甲霸王 0 0 0 0 0 1 5 5 0 0 1 1 0 0 0 0 0 0 0 0 0 0
金爪赤狐王 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
玉面素狐王 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 5 0 0 0 0 0
九尾魂石 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
狐月之眼 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
狐月魔眼 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 5 0 0 0 0 0
瘟疫统帅 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
魔族巫医 0 0 0 0 0 1 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
炽焰魔君[上古] 0 0 0 0 0 1 5 5 0 0 1 1 0 0 0 0 0 0 0 0 0 0
炼狱魔君[上古] 0 0 0 0 0 1 5 5 0 0 0 1 0 0 1 5 5 1 0 0 0 0
